id,comic_name,writer_name,publisher,publication_magazine,publish_number,publish_status,duration,img_url,rating
7471,バッフルとボク,ワイエム系,マッグガーデン,オルタナピクシブ,1巻,連載中,"2017 〜 ",https://images-na.ssl-images-amazon.com/images/I/41VCw527cSL.jpg,--
7472,照子ちゃんは恥ずかしがり屋,沼江蛙,双葉社,まんがタウン,1巻,連載中,"2016 〜 ",https://images-na.ssl-images-amazon.com/images/I/41Mm88u42DL.jpg,--
7473,パチスロダイオヘッド,"パチスロヘッドエイクス モリ淳史",白夜書房,,全1巻,完結済,"2005 〜 2005",,--
7474,ハッピーエンドみたいに,ささきゆきえ,秋水社,,巻,連載中," 〜 ",,--
7475,シークレットディスク体験版,"葵二葉 紅三葉",日本文芸社,,全1巻,完結済,"2006 〜 2006",https://images-na.ssl-images-amazon.com/images/I/51g-XUGURXL.jpg,--
7476,裸を売るオンナ達,音マサキ,COMIC維新,,巻,連載中," 〜 ",,--
7477,"サーラ ある愛の恐怖",御茶漬海苔,Milkyway,,巻,連載中," 〜 ",,--
7478,つぶらら,山名沢湖,双葉社,コミックハイ!,全4巻,完結済,"2006 〜 2008",https://images-na.ssl-images-amazon.com/images/I/4119Y644A6L.jpg,--
7479,夜行観覧車,"木村まるみ 湊かなえ TBSテレビ その他",双葉社,,巻,連載中," 〜 ",,--
7480,おむじょ!,つっつ,徳間書店,ぜにょん,2巻,連載中,"2017 〜 ",https://images-na.ssl-images-amazon.com/images/I/51XtDIuiTDL.jpg,--
7481,ソロモンの花嫁,こさかべ陽子,Milkyway,,巻,連載中," 〜 ",,--
7482,物男,永田一由,主婦の友社,コミカワ,2巻,連載中,"2016 〜 ",https://images-na.ssl-images-amazon.com/images/I/61g5b1mNmXL.jpg,--
7483,あの日のケンカ、今日の告白,"ke!to ke!To読み切りCollection",ぶんか社,,巻,連載中," 〜 ",,--
7484,"緋い花 分冊版","えびす華子 イオハラミア",双葉社,,巻,連載中," 〜 ",,--
7485,"COMING SOON ゴグ&マゴグシリーズ",篠原正美,Milkyway,,巻,連載中," 〜 ",,--
7486,恋人未満の賞味期限,美波はるこ,ぶんか社,,巻,連載中," 〜 ",,--
7487,"comic 楽園のうた","山崎零 鈴藤みわ",祥伝社,,巻,連載中," 〜 ",,--
7488,男子寮につき女子厳禁!,saco,オフィス漫,,巻,連載中," 〜 ",,--
7489,"今日もお天気 家族でパリ旅行編",桜沢エリカ,祥伝社,,巻,連載中," 〜 ",,--
7490,絵描きのオンナ,"ソラルル ひさよし@ソラルル",ソルマーレ編集部,,巻,連載中," 〜 ",,--
7491,再愛,"みなみなつみ 大石静",双葉社,,巻,連載中," 〜 ",,--
7492,風のウイークエンド,大谷博子,双葉社,,全1巻,完結済,"2007 〜 2007",https://images-na.ssl-images-amazon.com/images/I/41hYE4UUphL.jpg,--
7493,"おまたせ! マネージャー同好会",上重☆さゆり,オフィス漫,,巻,連載中," 〜 ",,--
7494,アイラブ台湾屋台めし,フジナミコナ,"イースト プレス",,巻,連載中," 〜 ",,--
7495,のんびりじょうのちょこまかひめ,今村洋子,HEW,,巻,連載中," 〜 ",,--
7496,廻生のカリカチュア,"極楽院櫻子 轟斗ソラ もぎひろむ",スクウェア・エニックス,月刊少年ガンガン,全2巻,完結済,"2016 〜 2016",https://images-na.ssl-images-amazon.com/images/I/51Q61VOscGL.jpg,--
7497,トイ・ドール,多田由美,祥伝社,,巻,連載中," 〜 ",,--
7498,Escape,アンソロジー,ムービック,,全1巻,完結済,"1997 〜 1997",,--
7499,大変愛,もりたじゅん,集英社,,全1巻,完結済,"1999 〜 1999",https://images-na.ssl-images-amazon.com/images/I/31KK99TDQTL.jpg,--
7500,百花万華鏡,伊沢玲,白泉社,別冊花とゆめ,全3巻,完結済,"2017 〜 2019",https://images-na.ssl-images-amazon.com/images/I/61-GZDR1dFL.jpg,--
7501,"風のペンション 家族の絆",大谷博子,双葉社,,巻,連載中," 〜 ",,--
7502,もういちど、なんどでも。,阿仁谷ユイジ,祥伝社,"on BLUE",全2巻,完結済,"2016 〜 2016",https://images-na.ssl-images-amazon.com/images/I/41DTBRuaOVL.jpg,--
7503,天の涯まで~ポーランド秘史,池田理代子,フェアベル,,巻,連載中," 〜 ",,--
7504,虹のクオリア,原田梨花,祥伝社,,巻,連載中," 〜 ",,--
7505,"竹宮惠子作品集 誰にもやらない",竹宮惠子,"eBookJapan Plus",,巻,連載中," 〜 ",,--
7506,私たちは繁殖している,内田春菊,ぶんか社,"みこすり半劇場 本当にあった笑える話",18巻,連載中,"1994 〜 ",https://images-na.ssl-images-amazon.com/images/I/51YpdINiZ6L.jpg,--
7507,夫を変えて汚部屋がキレイになりました,まきりえこ,扶桑社,,巻,連載中," 〜 ",,--
7508,大と大,本宮ひろ志,"サード ライン",,巻,連載中," 〜 ",,--
7509,それでもめる子,縁山,ワニマガジン社,,全1巻,完結済,"2016 〜 2016",https://images-na.ssl-images-amazon.com/images/I/61PlaoBoq9L.jpg,--
7510,光と影の日々,市川ジュン,"eBookJapan Plus",,巻,連載中," 〜 ",,--
7511,悪魔なダーリン,さとうここ,笠倉出版社,,巻,連載中," 〜 ",,--
7512,不倫してもいいですか?,阿木絢子,大洋図書,,巻,連載中," 〜 ",,--
7513,ドエステティシャン,青山アルト,海王社,,巻,連載中," 〜 ",,--
7514,処刑道,楠本哲,日本文芸社,,全1巻,完結済,"2016 〜 2016",https://images-na.ssl-images-amazon.com/images/I/51uce3IqDwL.jpg,--
7515,四人のにびいろ,akabeko,祥伝社,,巻,連載中," 〜 ",,--
7516,Nesia!!,山本貴嗣,アスキー,,全1巻,完結済,"1992 〜 1992",,--
7517,執事の令嬢飼育,宮越和草,ぶんか社,,巻,連載中," 〜 ",,--
7518,手取り足取り愛のムチ,此処田ヨー子,ぶんか社,,巻,連載中," 〜 ",,--
7519,聖母の鎖,金子節子,双葉社,JOURすてきな主婦たち,全3巻,完結済,"2016 〜 2018",https://images-na.ssl-images-amazon.com/images/I/5163NF76t2L.jpg,--
7520,誰そ彼の家政婦さん,小池田マヤ,祥伝社,,全1巻,完結済,"2012 〜 2012",https://images-na.ssl-images-amazon.com/images/I/51dq-FI7f6L.jpg,--
7521,ボスと秘書の誘惑ゲーム,"幸田育子 キャシー ウィリアムズ",ハーパーコリンズ・ジャパン,,全1巻,完結済,"2017 〜 2017",https://images-na.ssl-images-amazon.com/images/I/519ifCvyq4L.jpg,--
7522,青春日記,横山まさみち,HEW,,巻,連載中," 〜 ",,--
7523,レディに御用心,"アンアシュリー 星野正美",ハーレクイン,,全1巻,完結済,"2013 〜 2013",https://images-na.ssl-images-amazon.com/images/I/51q1HIuHYjL.jpg,--
7524,乱歩の美食,楠本哲,日本文芸社,週刊漫画ゴラク,全2巻,完結済,"2017 〜 2017",https://images-na.ssl-images-amazon.com/images/I/510o%2Bxekv8L.jpg,--
7525,水曜日のトリップランチ,たじまこと,フレックスコミックス,,巻,連載中," 〜 ",,--
7526,風のたてがみ,穂実あゆこ,小学館,,全6巻,完結済,"1987 〜 1991",https://images-na.ssl-images-amazon.com/images/I/51A6uhnoGNL.jpg,--
7527,アル中ワンダーランド,まんしゅうきつこ,扶桑社,,巻,連載中," 〜 ",,--
7528,ユメノ街~猫の男爵,柊あおい,フェアベル,,巻,連載中," 〜 ",,--
7529,森園みるくミステリー選集,"森園みるく 村崎百郎",双葉社,,巻,連載中," 〜 ",,--
7530,いーすとけん。パン屋でくらすわんこたち,kodama,主婦と生活社,,巻,連載中," 〜 ",,--
